iter	Passed	Remaining
0	5	5826
1	11	5830
2	17	5854
3	23	5874
4	30	5972
5	39	6623
6	48	6948
7	58	7229
8	70	7781
9	81	8068
10	92	8333
11	104	8593
12	117	8934
13	126	8935
14	137	9021
15	146	9005
16	156	9049
17	169	9269
18	176	9113
19	187	9170
20	194	9084
21	212	9445
22	228	9697
23	240	9777
24	250	9770
25	261	9799
26	273	9855
27	280	9730
28	290	9734
29	298	9661
30	306	9576
31	312	9443
32	319	9362
33	327	9306
34	333	9200
35	339	9093
36	345	8991
37	351	8894
38	356	8780
39	361	8680
40	367	8597
41	373	8521
42	379	8442
43	385	8366
44	390	8282
45	396	8213
46	401	8146
47	407	8080
48	413	8023
49	419	7961
50	424	7901
51	430	7854
52	436	7803
53	444	7793
54	451	7765
55	459	7740
56	471	7796
57	485	7887
58	501	7997
59	515	8078
60	523	8055
61	533	8066
62	542	8073
63	549	8031
64	556	8003
65	563	7977
66	570	7950
67	578	7926
68	586	7911
69	607	8074
70	619	8107
71	635	8195
72	651	8271
73	664	8311
74	677	8354
75	687	8353
76	700	8393
77	710	8394
78	719	8385
79	728	8374
80	736	8354
81	744	8330
82	750	8296
83	758	8273
84	766	8254
85	774	8231
86	782	8207
87	788	8176
88	796	8152
89	804	8131
90	811	8108
91	819	8087
92	825	8054
93	833	8031
94	840	8009
95	848	7988
96	856	7969
97	864	7953
98	872	7936
99	881	7934
100	890	7928
101	898	7912
102	915	7970
103	923	7955
104	930	7930
105	938	7914
106	949	7921
107	957	7910
108	965	7893
109	974	7883
110	990	7934
111	1008	7995
112	1017	7987
113	1028	7995
114	1053	8107
115	1062	8098
116	1071	8087
117	1079	8068
118	1087	8053
119	1095	8034
120	1102	8006
121	1108	7980
122	1115	7951
123	1121	7923
124	1127	7892
125	1152	7992
126	1163	7994
127	1171	7982
128	1179	7964
129	1187	7946
130	1194	7925
131	1202	7905
132	1209	7886
133	1217	7867
134	1225	7849
135	1232	7831
136	1241	7819
137	1258	7860
138	1271	7875
139	1281	7873
140	1291	7865
141	1300	7857
142	1311	7858
143	1320	7848
144	1327	7830
145	1334	7808
146	1340	7780
147	1347	7755
148	1353	7730
149	1359	7702
150	1365	7676
151	1371	7653
152	1377	7627
153	1383	7602
154	1390	7579
155	1396	7555
156	1402	7531
157	1408	7506
158	1414	7481
159	1420	7460
160	1426	7435
161	1433	7413
162	1439	7391
163	1445	7367
164	1452	7349
165	1458	7327
166	1464	7305
167	1470	7281
168	1476	7259
169	1482	7236
170	1488	7215
171	1494	7193
172	1500	7173
173	1507	7154
174	1513	7133
175	1519	7114
176	1525	7092
177	1531	7072
178	1537	7053
179	1543	7032
180	1549	7012
181	1556	6993
182	1562	6974
183	1568	6955
184	1574	6937
185	1580	6918
186	1587	6900
187	1593	6881
188	1599	6864
189	1605	6844
190	1611	6825
191	1617	6808
192	1623	6789
193	1630	6772
194	1636	6754
195	1642	6736
196	1648	6718
197	1654	6700
198	1660	6685
199	1667	6668
200	1676	6665
201	1685	6658
202	1695	6656
203	1706	6656
204	1715	6653
205	1726	6654
206	1737	6657
207	1751	6670
208	1762	6671
209	1771	6665
210	1784	6674
211	1799	6689
212	1816	6710
213	1829	6720
214	1839	6717
215	1849	6714
216	1858	6704
217	1865	6690
218	1872	6677
219	1878	6661
220	1886	6647
221	1892	6632
222	1899	6616
223	1905	6600
224	1911	6585
225	1918	6571
226	1925	6556
227	1932	6542
228	1938	6528
229	1946	6516
230	1954	6507
231	1960	6489
232	1966	6472
233	1971	6455
234	1978	6440
235	1984	6425
236	1992	6414
237	2000	6404
238	2009	6398
239	2024	6411
240	2034	6408
241	2047	6413
242	2060	6417
243	2073	6425
244	2087	6432
245	2108	6462
246	2122	6471
247	2144	6503
248	2164	6527
249	2182	6547
250	2208	6591
251	2244	6663
252	2272	6710
253	2294	6738
254	2308	6744
255	2319	6741
256	2329	6735
257	2338	6725
258	2346	6713
259	2354	6702
260	2362	6690
261	2370	6676
262	2377	6661
263	2383	6645
264	2390	6631
265	2397	6616
266	2404	6601
267	2411	6585
268	2417	6568
269	2423	6552
270	2429	6536
271	2435	6519
272	2442	6503
273	2448	6486
274	2454	6470
275	2459	6452
276	2466	6437
277	2471	6419
278	2477	6403
279	2484	6387
280	2490	6371
281	2496	6355
282	2501	6337
283	2507	6321
284	2514	6308
285	2521	6293
286	2527	6278
287	2532	6262
288	2538	6245
289	2544	6230
290	2550	6214
291	2557	6200
292	2565	6191
293	2572	6178
294	2580	6166
295	2586	6150
296	2592	6135
297	2597	6117
298	2602	6101
299	2608	6086
300	2614	6071
301	2620	6057
302	2626	6041
303	2632	6026
304	2638	6011
305	2643	5994
306	2649	5980
307	2655	5965
308	2660	5950
309	2666	5935
310	2672	5920
311	2677	5904
312	2683	5889
313	2688	5874
314	2694	5860
315	2701	5846
316	2706	5831
317	2712	5817
318	2718	5803
319	2723	5788
320	2730	5775
321	2735	5759
322	2740	5744
323	2746	5730
324	2752	5716
325	2758	5702
326	2764	5689
327	2770	5675
328	2775	5661
329	2781	5647
330	2787	5634
331	2793	5621
332	2799	5607
333	2805	5593
334	2811	5580
335	2817	5567
336	2823	5554
337	2828	5540
338	2834	5527
339	2840	5513
340	2846	5500
341	2852	5487
342	2857	5474
343	2863	5461
344	2869	5448
345	2876	5437
346	2882	5424
347	2888	5412
348	2896	5402
349	2904	5393
350	2912	5384
351	2927	5388
352	2946	5400
353	2956	5395
354	2974	5404
355	2990	5408
356	3002	5407
357	3012	5402
358	3023	5397
359	3034	5395
360	3050	5399
361	3072	5415
362	3083	5411
363	3093	5405
364	3106	5404
365	3120	5405
366	3134	5407
367	3152	5414
368	3167	5415
369	3177	5410
370	3189	5407
371	3196	5396
372	3204	5387
373	3214	5380
374	3222	5370
375	3231	5362
376	3239	5352
377	3245	5341
378	3254	5333
379	3261	5321
380	3268	5311
381	3275	5299
382	3281	5287
383	3288	5275
384	3294	5262
385	3301	5250
386	3307	5238
387	3313	5227
388	3320	5215
389	3326	5203
390	3333	5191
391	3339	5179
392	3346	5168
393	3352	5155
394	3358	5143
395	3364	5131
396	3371	5120
397	3376	5107
398	3382	5095
399	3389	5083
400	3395	5071
401	3401	5059
402	3407	5047
403	3413	5035
404	3419	5024
405	3425	5012
406	3431	5000
407	3437	4988
408	3443	4975
409	3449	4963
410	3455	4952
411	3462	4941
412	3467	4928
413	3473	4916
414	3479	4904
415	3485	4893
416	3491	4881
417	3497	4870
418	3504	4859
419	3511	4848
420	3517	4838
421	3524	4827
422	3531	4816
423	3537	4806
424	3544	4794
425	3550	4784
426	3557	4773
427	3564	4763
428	3570	4752
429	3577	4742
430	3585	4733
431	3591	4722
432	3597	4711
433	3603	4700
434	3610	4689
435	3616	4678
436	3622	4666
437	3628	4656
438	3634	4644
439	3641	4634
440	3647	4623
441	3653	4612
442	3659	4601
443	3665	4590
444	3672	4580
445	3680	4571
446	3685	4559
447	3692	4550
448	3698	4539
449	3705	4528
450	3711	4518
451	3718	4508
452	3725	4498
453	3731	4487
454	3738	4477
455	3744	4467
456	3749	4455
457	3756	4445
458	3762	4434
459	3768	4423
460	3774	4413
461	3781	4403
462	3788	4393
463	3794	4382
464	3800	4372
465	3805	4361
466	3811	4350
467	3817	4339
468	3822	4328
469	3829	4318
470	3836	4309
471	3842	4298
472	3849	4288
